invoiceId,invoiceDate,month,platform,brand,campaignName,amount,paymentDate,paymentReference,chargeCode,chargeAmountOriginal,chargeAmountUsd,chargeAmountValidation,chargeTcAmount,legalEntity,comuna,project,pepCode,referenceId,referenceType,mappingBrand,splitCount,matched,sourceFile,cartolaReference,cartolaDate,cartolaDescription,cartolaCity
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Antofagasta_ParqueBrasil,8446,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Antofagasta,Parque Brasil,I-ALM-2285,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_AlmagroDistrict,13624,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Madagascar,Las Condes,Almagro District,I-ALM-2399,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_AlmagroHub,9084,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Arcilla Roja,Providencia,Almagro Hub,I-ALM-2189,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_AlmagroPlus,9238,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Almagro Plus,Almagro Plus,I-ALM-2234,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Balance,7742,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Providencia,Balance,I-ALM-2358,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Carrera_IV,8896,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Santiago Centro,Carrera 4,I-ALM-2275,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_Insigne,9372,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Macul,Insigne,I-ALM-2157,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_LosCactus,10611,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Lo Barnechea,Los Cactus,I-ALM-2342,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_LyonBilbao,8172,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Almagro S.A,Providencia,Lyon Bilbao,I-ALM-2211,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
meta-almagro-inmobiliaria-2026-03,2026-03-12,2026-03,Meta,Almagro Inmobiliaria,FB_AOL_Santiago_PadreLePaige,10073,2026-03-12,L8HESGV6E2,L8HESGV6E2,600000,685.53,Coincide,,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,25954882590863774-25890506970634676,transactionId,Almagro,1,True,Facturas Meta/Almagro/marzo_2026/2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,1303 74987506071000221330097,2026-03-12,FACEBK *L8HESGV6E2,fb.me/ads
