platform,brand,legalEntity,comuna,project,pepCode,amount
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 2,I-ALM-2306,69514
Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,Rengo,I-ALM-2288,69514
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Almagro Plus,I-ALM-2234,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Balance,I-ALM-2358,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Carrera 4,I-ALM-2275,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Indico,I-ALM-1453,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Insigne,I-ALM-2157,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Los Cactus,I-ALM-2342,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Lyon Bilbao,I-ALM-2211,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,Parque Brasil,I-ALM-2285,60836
Google Ads,Almagro Inmobiliaria,Almagro S.A,Inversionista,San Eugenio 2,I-ALM-2227,60836
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,Almagro Hub,I-ALM-2189,60836
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,PLP 1,I-ALM-2226,60836
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,PLP 2,I-ALM-2306,60836
Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,Rengo,I-ALM-2288,60836
Google Ads,Almagro Inmobiliaria,Madagascar,Inversionista,Almagro District,I-ALM-2399,60836
Meta,Socovesa,Socovesa Sur S.A,Temuco,Icono,I-SUR-2346,51973
Meta,Socovesa,Socovesa Sur S.A,Temuco,Origen,I-SUR-2346,51972
Meta,Pilares,ICSA,Inversionista,Conde del Maule,I-SVS-2255,51093
Meta,Pilares,ICSA,Inversionista,Edificio Ñuble,I-SVS-2173,51093
Meta,Pilares,ICSA,Inversionista,Lo Ovalle,I-SVS-2296,51093
Meta,Pilares,Pilares S.A,Inversionista,Guillermo Mann,I-SVS-2250,51093
Meta,Pilares,Pilares S.A,Inversionista,Rodriguez Velasco,I-SVS-2289,51093
Meta,Pilares,ICSA,Inversionista,Santos Dumont,I-SVS-2246,51092
Meta,Pilares,Pilares S.A,Inversionista,Vicuña Mackenna 7244,I-SVS-2131,51092
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Alto Maderos,I-SUR-2335,42832
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Edificio Vértice,I-SUR-2297,42832
Meta,Socovesa,Socovesa Sur S.A,Inversionista,García Reyes,I-SUR-2283,42832
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Icono,I-SUR-2346,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,N3,I-SUR-2331,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Nueva Toledo,I-SUR-2334,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,O3,I-SUR-2373,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Origen,I-SUR-2346,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Parque Avellanos,I-SUR-2336,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Portal Austral,I-SUR-2340,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Reserva Magallanes,I-SUR-2323,42831
Meta,Socovesa,Socovesa Sur S.A,Inversionista,Terraza Mirador,I-SUR-2333,42831
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Alto Maderos,I-SUR-2335,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Edificio Vértice,I-SUR-2297,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,García Reyes,I-SUR-2283,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Icono,I-SUR-2346,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,N3,I-SUR-2331,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Nueva Toledo,I-SUR-2334,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,O3,I-SUR-2373,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Origen,I-SUR-2346,35953
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,PDL,I-SUR-2372,35952
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Parque Avellanos,I-SUR-2336,35952
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Portal Austral,I-SUR-2340,35952
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Reserva Magallanes,I-SUR-2323,35952
Google Ads,Socovesa,Socovesa Sur S.A,Genérico,Terraza Mirador,I-SUR-2333,35952
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Alto Maderos,I-SUR-2335,35278
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Edificio Vértice,I-SUR-2297,35278
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,García Reyes,I-SUR-2283,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Icono,I-SUR-2346,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,N3,I-SUR-2331,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Nueva Toledo,I-SUR-2334,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,O3,I-SUR-2373,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Origen,I-SUR-2346,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,PDL,I-SUR-2372,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Parque Avellanos,I-SUR-2336,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Portal Austral,I-SUR-2340,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Reserva Magallanes,I-SUR-2323,35277
Google Ads,Socovesa,Socovesa Sur S.A,Inversionista,Terraza Mirador,I-SUR-2333,35277
Meta,Almagro Inmobiliaria,Madagascar,Blog,Almagro District,I-ALM-2399,6777
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Almagro Plus,I-ALM-2234,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Balance,I-ALM-2358,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Carrera 4,I-ALM-2275,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Indico,I-ALM-1453,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Insigne,I-ALM-2157,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Los Cactus,I-ALM-2342,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Lyon Bilbao,I-ALM-2211,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,Parque Brasil,I-ALM-2285,6776
Meta,Almagro Inmobiliaria,Almagro S.A,Blog,San Eugenio 2,I-ALM-2227,6776
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,Almagro Hub,I-ALM-2189,6776
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,PLP 1,I-ALM-2226,6776
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,PLP 2,I-ALM-2306,6776
Meta,Almagro Inmobiliaria,Arcilla Roja,Blog,Rengo,I-ALM-2288,6776
Google Ads,Almagro Inmobiliaria,Arcilla Roja,AON,PLP 1,I-ALM-2226,1847
Google Ads,Pilares,Pilares S.A,AON,Guillermo Mann,I-SVS-2250,204
