month,platform,brand,legalEntity,comuna,project,pepCode,campaignName,amount,invoiceId,invoiceDate,paymentDate,paymentReference,referenceId,referenceType,chargeAmountValidation,matched,mappingBrand,cartolaMatchStatus
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,Almagro Hub,I-ALM-2189,Santiago | AO S | Tudeptoestupie,71170,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,PLP 1,I-ALM-2226,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,PLP 1,I-ALM-2226,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 1,I-ALM-2226,Santiago | AO S | Por Comuna | Las Condes,487059,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 1,I-ALM-2226,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,PLP 2,I-ALM-2306,Nacional | AO S | Por Categoria | Always On,105233,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,PLP 2,I-ALM-2306,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Las Condes,PLP 2,I-ALM-2306,Santiago | AO S | Por Comuna | Las Condes,487059,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,PPP,PLP 2,I-ALM-2306,Santiago | AO S | Tudeptoestupie,71169,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Genérico,Rengo,I-ALM-2288,Nacional | AO S | Por Categoria | Always On,105232,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Inversionista,Rengo,I-ALM-2288,Santiago | AO S | Inversionistas 2,51983,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,True,Manual,Pendiente cartola TC junio completa
2026-06,Google Ads,Almagro Inmobiliaria,Arcilla Roja,Providencia,Rengo,I-ALM-2288,Santiago | AO S | Por Comuna | Providencia,730746,5620363570,2026-06-30,2026-06-30,,5620363570,invoiceNumber,Sin match,False,,Pendiente cartola TC junio completa
