Nivel,Referencia solicitada,Mes,Razon social,Plataforma,Marca,Comuna,Proyecto,PEP,Nombre de campana,ID transaccion / N factura,Fecha de pago,N referencia,Codigo descripcion cobro,Desglose Cobro TC,Monto moneda origen,Monto US,Validacion monto,Monto real visible,Monto aperturado,Invoice ID,Invoice date,Reference type,Mapping brand,Matched,Split index,Split count
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Inversionista,Lo Ovalle,I-SVS-2296,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5535,600000.0,666.36,Coincide,,5535.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,4,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Inversionista,Rodriguez Velasco,I-SVS-2289,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5535,600000.0,666.36,Coincide,,5535.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,5,7
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Inversionista,Santos Dumont,I-SVS-2246,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5535,600000.0,666.36,Coincide,,5535.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,6,7
Apertura,XLX3TKR6E2,2026-04,Pilares S.A,Meta,Pilares,Inversionista,Vicuña Mackenna 7244,I-SVS-2131,FB_Pilares_Inversionistas,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,5535,600000.0,666.36,Coincide,,5535.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,7,7
TOTAL CAMPANA,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Estación Central,Conde del Maule,I-SVS-2255,FB_AOL_CondeMauleIII,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,15478.0,600000.0,666.36,Coincide,15478.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,1
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Estación Central,Conde del Maule,I-SVS-2255,FB_AOL_CondeMauleIII,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,15478.0,600000.0,666.36,Coincide,,15478.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,1
TOTAL CAMPANA,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Independencia,Santos Dumont,I-SVS-2246,FB_AOL_SantosDumont,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,15285.0,600000.0,666.36,Coincide,15285.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,1
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Independencia,Santos Dumont,I-SVS-2246,FB_AOL_SantosDumont,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,15285.0,600000.0,666.36,Coincide,,15285.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,1
TOTAL CAMPANA,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Santiago Centro,Edificio Ñuble,I-SVS-2173,FB_AOL_EdificioNuble,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,13112.0,600000.0,666.36,Coincide,13112.0,,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,,1
Apertura,XLX3TKR6E2,2026-04,ICSA,Meta,Pilares,Santiago Centro,Edificio Ñuble,I-SVS-2173,FB_AOL_EdificioNuble,26715351818152119-26573208419033131,2026-04-08,XLX3TKR6E2,XLX3TKR6E2,13112.0,600000.0,666.36,Coincide,,13112.0,meta-pilares-2026-04,2026-04-30,transactionId,Pilares,True,1,1
